ntopic,frequency
0,681
1,406
2,362
3,351
4,297
5,297
6,296
7,238
8,237
9,218
10,217
11,176
12,170
13,169
14,165
15,163
16,163
17,159
18,158
19,156
20,138
21,136
22,135
23,133
24,126
25,126
26,123
27,116
28,108
29,108
30,106
31,104
32,102
33,88
34,84
35,82
36,81
37,81
38,80
39,79
40,77
41,77
42,75
43,64
44,63
45,60
46,47
47,41
48,41
49,31
